i,32.72,32.72
og,26.29,59.01
det,20.81,79.82
er,18.32,98.14
av,16.01,114.15
som,15.77,129.93
til,15.60,145.53
på,15.33,160.86
en,14.84,175.70
for,14.74,190.44
at,14.01,204.45
å,13.96,218.41
med,11.28,229.69
har,10.57,240.26
de,9.65,249.90
ikke,8.87,258.77
den,8.19,266.96
om,7.24,274.20
han,6.86,281.06
et,6.53,287.59
var,5.61,293.20
fra,5.11,298.31
men,5.02,303.33
seg,4.51,307.84
kan,4.50,312.34
vi,4.22,316.57
vil,4.12,320.69
jeg,3.93,324.62
ble,3.42,328.04
skal,3.18,331.22
så,3.17,334.38
etter,2.96,337.35
dette,2.92,340.26
også,2.85,343.11
ved,2.70,345.81
sier,2.51,348.32
hadde,2.45,350.77
da,2.35,353.12
eller,2.30,355.42
være,2.27,357.69
hun,2.22,359.91
år,2.19,362.10
blir,2.17,364.27
ut,2.17,366.43
nå,2.04,368.47
over,2.01,370.48
andre,1.96,372.44
må,1.93,374.38
mot,1.85,376.23
bare,1.80,378.03
alle,1.80,379.83
du,1.73,381.56
når,1.70,383.26
få,1.69,384.95
enn,1.68,386.63
ha,1.67,388.30
denne,1.63,389.93
opp,1.63,391.56
to,1.62,393.18
bli,1.60,394.78
noe,1.56,396.34
sin,1.52,397.86
inn,1.49,399.35
man,1.49,400.84
mer,1.46,402.30
selv,1.44,403.75
går,1.43,405.17
vært,1.42,406.59
gs,1.41,408.00
noen,1.41,409.41
1,1.37,410.77
kunne,1.30,412.08
før,1.29,413.37
mange,1.27,414.63
slik,1.23,415.87
2,1.23,417.10
nye,1.23,418.33
der,1.23,419.56
kroner,1.20,420.76
mellom,1.19,421.94
under,1.15,423.10
får,1.14,424.23
flere,1.12,425.35
sa,1.12,426.47
første,1.08,427.55
norge,1.04,428.58
hvor,1.02,429.60
dag,1.02,430.62
dem,1.01,431.63
både,1.01,432.64
her,0.99,433.63
h3,0.98,434.62
hva,0.97,435.59
ingen,0.97,436.55
3,0.96,437.52
ville,0.94,438.45
prosent,0.93,439.39
ham,0.93,440.32
kommer,0.93,441.25
store,0.92,442.17
skulle,0.92,443.09
siden,0.91,444.00
fikk,0.90,444.90
annet,0.90,445.80
sine,0.90,446.70
mener,0.90,447.59
norske,0.88,448.48
000,0.87,449.35
hele,0.87,450.22
alt,0.87,451.09
kom,0.86,451.95
disse,0.84,452.79
hans,0.84,453.63
4,0.83,454.46
uten,0.83,455.29
blitt,0.82,456.11
blant,0.82,456.93
ta,0.81,457.73
5,0.80,458.54
h1,0.80,459.34
tre,0.79,460.13
p,0.79,460.91
samme,0.78,461.70
oss,0.78,462.48
mye,0.78,463.26
oslo,0.77,464.03
meg,0.76,464.79
helt,0.76,465.55
siste,0.74,466.30
gang,0.74,467.04
tidligere,0.73,467.77
sammen,0.73,468.50
tid,0.73,469.23
hvis,0.71,469.94
0,0.70,470.64
nok,0.70,471.34
millioner,0.70,472.04
derfor,0.69,472.73
sitt,0.69,473.43
igjen,0.69,474.12
gå,0.69,474.81
h5,0.69,475.50
norsk,0.69,476.18
bør,0.68,476.87
gjennom,0.67,477.54
gikk,0.67,478.21
ny,0.67,478.88
mens,0.66,479.54
godt,0.66,480.19
fått,0.65,480.84
gjøre,0.64,481.48
se,0.64,482.12
stor,0.62,482.74
gir,0.61,483.36
fordi,0.61,483.97
6,0.60,484.57
h4,0.60,485.16
ser,0.60,485.76
gjør,0.60,486.36
rundt,0.59,486.94
gi,0.58,487.52
ned,0.58,488.11
grunn,0.57,488.67
gjelder,0.56,489.23
langt,0.55,489.79
del,0.55,490.34
7,0.54,490.88
a,0.54,491.42
måtte,0.53,491.95
står,0.53,492.49
forhold,0.53,493.02
annen,0.53,493.55
folk,0.53,494.08
tilbake,0.53,494.61
